75: 481.267365, 628.061768 avg, 0.000000 rate, 2.355580 seconds, 4800 images
76: 477.530273, 613.008606 avg, 0.000000 rate, 2.357916 seconds, 4864 images
77: 473.371155, 599.044861 avg, 0.000000 rate, 2.358291 seconds, 4928 images
78: 472.416351, 586.382019 avg, 0.000000 rate, 2.355861 seconds, 4992 images
79: 467.746521, 574.518494 avg, 0.000000 rate, 2.359911 seconds, 5056 images
80: 464.090332, 563.475708 avg, 0.000000 rate, 2.356823 seconds, 5120 images
81: 776.429382, 584.771057 avg, 0.000000 rate, 3.517839 seconds, 5184 images
82: 770.222107, 603.316162 avg, 0.000000 rate, 3.635296 seconds, 5248 images
83: 763.239990, 619.308533 avg, 0.000000 rate, 3.633559 seconds, 5312 images
84: 756.157593, 632.993408 avg, 0.000000 rate, 3.631729 seconds, 5376 images
85: 747.495117, 644.443604 avg, 0.000000 rate, 3.629262 seconds, 5440 images
86: 740.745422, 654.073792 avg, 0.000000 rate, 3.633049 seconds, 5504 images
87: 729.876953, 661.654114 avg, 0.000000 rate, 3.632865 seconds, 5568 images
88: 720.478882, 667.536621 avg, 0.000000 rate, 3.630467 seconds, 5632 images
89: 711.585388, 671.941528 avg, 0.000000 rate, 3.633930 seconds, 5696 images
90: 700.364990, 674.783875 avg, 0.000000 rate, 3.631441 seconds, 5760 images
91: 1318.132568, 739.118774 avg, 0.000000 rate, 6.438292 seconds, 5824 images
92: 1293.521606, 794.559082 avg, 0.000000 rate, 6.634267 seconds, 5888 images
93: 1268.901001, 841.993286 avg, 0.000000 rate, 6.642676 seconds, 5952 images
94: 1238.110596, 881.605042 avg, 0.000000 rate, 6.637022 seconds, 6016 images
95: 1207.893799, 914.233887 avg, 0.000000 rate, 6.646637 seconds, 6080 images
96: 1173.657959, 940.176270 avg, 0.000000 rate, 6.637565 seconds, 6144 images
97: 1140.908569, 960.249512 avg, 0.000000 rate, 6.646241 seconds, 6208 images
98: 1099.722412, 974.196777 avg, 0.000000 rate, 6.637536 seconds, 6272 images
99: 1064.407104, 983.217834 avg, 0.000000 rate, 6.645126 seconds, 6336 images
100: 1024.776001, 987.373657 avg, 0.000000 rate, 6.632731 seconds, 6400 images
101: 370.676788, 925.703979 avg, 0.000000 rate, 2.658177 seconds, 6464 images
102: 357.463440, 868.879944 avg, 0.000000 rate, 2.753471 seconds, 6528 images
103: 344.912811, 816.483215 avg, 0.000000 rate, 2.746039 seconds, 6592 images
104: 330.656250, 767.900513 avg, 0.000000 rate, 2.751529 seconds, 6656 images
105: 317.661804, 722.876648 avg, 0.000000 rate, 2.749670 seconds, 6720 images
106: 305.457703, 681.134766 avg, 0.000000 rate, 2.749035 seconds, 6784 images
107: 293.953125, 642.416626 avg, 0.000000 rate, 2.749963 seconds, 6848 images
108: 285.058685, 606.680847 avg, 0.000000 rate, 2.748714 seconds, 6912 images
109: 275.490540, 573.561829 avg, 0.000000 rate, 2.748279 seconds, 6976 images
110: 264.336334, 542.639282 avg, 0.000000 rate, 2.753565 seconds, 7040 images
111: 408.679047, 529.243286 avg, 0.000000 rate, 3.883460 seconds, 7104 images
112: 392.681763, 515.587158 avg, 0.000000 rate, 4.016060 seconds, 7168 images
113: 378.181610, 501.846619 avg, 0.000000 rate, 4.018337 seconds, 7232 images
114: 364.043274, 488.066284 avg, 0.000000 rate, 4.017309 seconds, 7296 images
115: 347.021454, 473.961792 avg, 0.000000 rate, 4.020686 seconds, 7360 images
116: 332.962067, 459.861816 avg, 0.000000 rate, 4.014422 seconds, 7424 images
117: 316.555023, 445.531128 avg, 0.000000 rate, 4.015023 seconds, 7488 images
118: 304.787720, 431.456787 avg, 0.000000 rate, 4.016206 seconds, 7552 images
119: 292.720154, 417.583130 avg, 0.000000 rate, 4.020380 seconds, 7616 images
120: 278.251282, 403.649933 avg, 0.000000 rate, 4.019296 seconds, 7680 images
121: 165.340164, 379.818970 avg, 0.000000 rate, 2.656546 seconds, 7744 images
122: 157.993561, 357.636444 avg, 0.000000 rate, 2.755902 seconds, 7808 images
123: 151.693481, 337.042145 avg, 0.000000 rate, 2.750524 seconds, 7872 images
124: 144.202881, 317.758209 avg, 0.000000 rate, 2.748724 seconds, 7936 images
125: 137.428802, 299.725281 avg, 0.000000 rate, 2.755874 seconds, 8000 images
126: 132.018585, 282.954620 avg, 0.000000 rate, 2.752506 seconds, 8064 images
127: 126.174759, 267.276642 avg, 0.000000 rate, 2.750751 seconds, 8128 images
128: 121.890991, 252.738083 avg, 0.000000 rate, 2.751223 seconds, 8192 images
129: 115.982681, 239.062546 avg, 0.000000 rate, 2.747077 seconds, 8256 images
130: 110.351486, 226.191437 avg, 0.000000 rate, 2.753626 seconds, 8320 images
131: 146.472305, 218.219528 avg, 0.000000 rate, 3.521840 seconds, 8384 images
132: 139.656235, 210.363205 avg, 0.000000 rate, 3.633029 seconds, 8448 images
133: 134.209686, 202.747849 avg, 0.000000 rate, 3.633379 seconds, 8512 images
134: 128.039978, 195.277069 avg, 0.000000 rate, 3.638891 seconds, 8576 images
135: 121.139206, 187.863281 avg, 0.000000 rate, 3.636366 seconds, 8640 images
136: 116.797630, 180.756714 avg, 0.000000 rate, 3.633810 seconds, 8704 images
137: 110.731590, 173.754196 avg, 0.000000 rate, 3.633663 seconds, 8768 images
138: 106.299438, 167.008728 avg, 0.000000 rate, 3.634757 seconds, 8832 images
139: 100.676132, 160.375473 avg, 0.000000 rate, 3.636867 seconds, 8896 images
140: 95.583260, 153.896255 avg, 0.000000 rate, 3.634788 seconds, 8960 images
141: 67.109138, 145.217545 avg, 0.000000 rate, 2.676260 seconds, 9024 images
142: 63.771942, 137.072983 avg, 0.000000 rate, 2.747637 seconds, 9088 images
143: 60.297874, 129.395477 avg, 0.000000 rate, 2.755230 seconds, 9152 images
144: 58.286415, 122.284569 avg, 0.000000 rate, 2.752698 seconds, 9216 images
145: 55.866341, 115.642746 avg, 0.000000 rate, 2.748119 seconds, 9280 images
146: 53.068394, 109.385307 avg, 0.000000 rate, 2.755978 seconds, 9344 images
147: 50.003658, 103.447144 avg, 0.000000 rate, 2.751017 seconds, 9408 images
148: 50.350002, 98.137428 avg, 0.000000 rate, 2.751814 seconds, 9472 images
149: 46.544308, 92.978119 avg, 0.000000 rate, 2.754818 seconds, 9536 images
150: 44.446720, 88.124977 avg, 0.000001 rate, 2.748764 seconds, 9600 images
151: 35.792660, 82.891747 avg, 0.000001 rate, 2.280442 seconds, 9664 images
152: 34.478451, 78.050415 avg, 0.000001 rate, 2.358240 seconds, 9728 images
153: 34.342892, 73.679665 avg, 0.000001 rate, 2.359529 seconds, 9792 images
154: 32.680489, 69.579750 avg, 0.000001 rate, 2.357537 seconds, 9856 images
155: 31.053957, 65.727173 avg, 0.000001 rate, 2.357476 seconds, 9920 images
156: 30.080448, 62.162498 avg, 0.000001 rate, 2.358614 seconds, 9984 images
157: 28.996286, 58.845879 avg, 0.000001 rate, 2.360043 seconds, 10048 images
158: 27.491371, 55.710426 avg, 0.000001 rate, 2.357881 seconds, 10112 images
159: 26.932062, 52.832588 avg, 0.000001 rate, 2.359639 seconds, 10176 images
160: 26.394485, 50.188778 avg, 0.000001 rate, 2.358442 seconds, 10240 images
161: 38.905678, 49.060467 avg, 0.000001 rate, 3.519010 seconds, 10304 images
162: 36.995533, 47.853973 avg, 0.000001 rate, 3.635233 seconds, 10368 images
163: 36.007866, 46.669361 avg, 0.000001 rate, 3.637263 seconds, 10432 images
164: 33.465111, 45.348938 avg, 0.000001 rate, 3.637422 seconds, 10496 images
165: 33.601852, 44.174229 avg, 0.000001 rate, 3.636417 seconds, 10560 images
166: 30.867397, 42.843544 avg, 0.000001 rate, 3.636755 seconds, 10624 images
167: 30.335400, 41.592731 avg, 0.000001 rate, 3.637084 seconds, 10688 images
168: 29.655052, 40.398964 avg, 0.000001 rate, 3.637068 seconds, 10752 images
169: 26.886131, 39.047680 avg, 0.000001 rate, 3.636002 seconds, 10816 images
170: 26.943243, 37.837234 avg, 0.000001 rate, 3.636891 seconds, 10880 images
171: 28.997557, 36.953266 avg, 0.000001 rate, 3.890658 seconds, 10944 images
172: 27.677734, 36.025711 avg, 0.000001 rate, 4.024024 seconds, 11008 images
173: 26.703743, 35.093513 avg, 0.000001 rate, 4.016811 seconds, 11072 images
174: 25.110941, 34.095257 avg, 0.000001 rate, 4.016716 seconds, 11136 images
175: 25.380325, 33.223763 avg, 0.000001 rate, 4.015795 seconds, 11200 images
176: 23.249098, 32.226295 avg, 0.000001 rate, 4.021329 seconds, 11264 images
